stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
infill1,1,40,0.8,0.05,0.75,0.15,0.15,0.4,0.3,0.85,0.5,0.7,0.1,0
infill1,1,41,0.8,0.05,0.75,0.5,0.5,0.7,0.3,0.45,0.15,0.4,0.3,1
infill1,1,42,0.8,0.05,0.6048235273,0.3538381249,0.163264129,0.7,0.2172491353,0.45,0.2577804958,0.4,0.1037895587,0
infill1,1,43,1.25,0.05,0.35,0.5,0.5,0.7,0.3,0.6528172158,0.15,0.7,0.3,0
infill1,1,44,0.8,0.05,0.35,0.15,0.5,0.7,0.2,0.85,0.5,0.7,0.3,1
infill1,1,45,0.8,0.05,0.6173024919,0.2312318557,0.5,0.4,0.3,0.6790687587,0.15,0.4,0.1,0
infill1,1,46,0.8,0.05,0.5476018608,0.2931661264,0.5,0.4,0.2,0.85,0.3694123967,0.7,0.1,0
infill1,1,47,1.068770195,0.781831747,0.586750541,0.3685086491,0.2360555104,0.4376279683,0.2827276673,0.8305747016,0.1580133747,0.5665005885,0.1862415876,0
infill1,1,48,0.8329023577,0.2410659084,0.6375294069,0.2486340823,0.3729616039,0.5106607731,0.2307535169,0.4853089313,0.3252311265,0.612588761,0.1613769423,1
infill1,1,49,1.207272944,0.3831904496,0.4010478638,0.3939868474,0.420482926,0.6168785674,0.2609213146,0.6297186667,0.3834130406,0.4372705563,0.2423426973,0
infill1,1,50,1.164886791,1.0,0.35,0.15,0.5,0.7,0.2,0.7422003338,0.4052880342,0.4,0.3,0
infill1,1,51,1.202818505,1.0,0.35,0.15,0.5,0.7,0.2,0.45,0.5,0.4,0.2937369479,0
infill1,1,52,1.062593589,1.0,0.35,0.349800639,0.5,0.7,0.2,0.45,0.15,0.4,0.1,0
infill1,1,53,1.234250301,1.0,0.75,0.4945729093,0.5,0.7,0.2306757054,0.45,0.5,0.4451086608,0.1,0
infill1,1,54,1.25,1.0,0.35,0.198414322,0.3392354466,0.4,0.2,0.45,0.15,0.4,0.1,0
infill1,1,55,0.9993634186,1.0,0.4264114648,0.3671958052,0.5,0.7,0.2093113252,0.6458646715,0.15,0.4,0.3,0
infill1,1,56,1.128812682,1.0,0.35,0.4409646242,0.5,0.7,0.2234300306,0.45,0.15,0.5775563318,0.2694927614,1
infill1,1,57,1.091751544,1.0,0.35,0.3602749165,0.5,0.7,0.2,0.45,0.2753275318,0.4981228601,0.3,0
infill1,1,58,1.228806393,1.0,0.35,0.15,0.5,0.7,0.2,0.45,0.5,0.4533508735,0.17160107,0
infill1,1,59,1.058905554,1.0,0.35,0.15,0.5,0.7,0.3,0.45,0.5,0.4491893522,0.3,1
infill1,1,60,1.25,1.0,0.35,0.5,0.3301619415,0.4,0.2,0.85,0.5,0.4109783145,0.1,0
infill1,1,61,0.8,0.6595018213,0.35,0.15,0.15,0.4,0.2,0.85,0.15,0.7,0.3,1
infill1,1,62,1.093432905,1.0,0.35,0.5,0.5,0.7,0.2,0.4905031269,0.1718298545,0.4,0.3,0
infill1,1,63,1.176919073,1.0,0.75,0.3401057251,0.5,0.7,0.2,0.85,0.5,0.4073240908,0.2568473794,1
infill1,1,64,1.028698084,1.0,0.35,0.15,0.5,0.7,0.2,0.6642480087,0.4288022166,0.4121936976,0.3,0
infill1,1,65,0.8000832352,0.862017606,0.3681178206,0.2409198573,0.285618672,0.5616914864,0.2486482404,0.5730657781,0.337686132,0.4754765716,0.1015454521,0
infill1,1,66,1.129117158,0.7184301027,0.682672608,0.2820709592,0.4859009475,0.5945700725,0.2742959974,0.6618187668,0.2320962738,0.6018361651,0.1106159665,1
infill1,1,67,1.15482036,0.08073407038,0.444270952,0.1718602305,0.3713607882,0.4407542901,0.2066632553,0.5812736534,0.3719382236,0.5738780665,0.2393974311,0
infill1,1,68,0.8356622231,0.3342359172,0.4806713345,0.2623896842,0.3815786521,0.6178333181,0.2360125275,0.8141477612,0.1930317642,0.5603227465,0.2826629027,1
infill1,1,69,1.101285737,0.9101025054,0.6244269136,0.490147872,0.4703557074,0.5702793285,0.2127221518,0.5229589241,0.301916387,0.5243076046,0.2317812035,1
